"File","TitleLen","DescriptionLen"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-agent-trap-business-owners-2026-escape-plan.html","101","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-agents-replacing-traditional-workflows-are-you-ready.html","93","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-automation-explained-guide-2026.html","94","153"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-automation-not-working-2026-troubleshooting-guide.html","99","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-chatbot-not-converting-leads-2026-fix.html","82","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-reducing-manual-work-guide-2026.html","87","146"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-roi-2026-why-most-ai-investments-fail.html","83","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-tool-overload-fix-2026.html","103","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-transforming-business-operations-2026.html","67","112"
"C:\Users\Rising Star\Desktop\My-Website\posts\ai-workflow-documentation-framework-2026.html","100","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\automate-weekly-reporting-with-ai.html","57","75"
"C:\Users\Rising Star\Desktop\My-Website\posts\elevenlabs-review-2026-ai-voice-tool.html","94","140"
"C:\Users\Rising Star\Desktop\My-Website\posts\eu-ai-act-2026-august-deadline-compliance-guide.html","77","152"
"C:\Users\Rising Star\Desktop\My-Website\posts\eu-ai-act-2026-the-august-compliance-deadline-that-could-cost-your-business-eur35-million.html","51","117"
"C:\Users\Rising Star\Desktop\My-Website\posts\geo-content-refresh-playbook-2026.html","93","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\google-ai-search-ranking-2026-indexing-fix.html","103","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\google-is-dying-ai-replaced-search-2026.html","101","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\google-vs-apple-30-billion-ai-smart-glasses-battle.html","122","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\how-to-create-free-ai-chatbot-for-business-2026.html","81","151"
"C:\Users\Rising Star\Desktop\My-Website\posts\kimi-k2-5-moonshot-ai-review-2026.html","98","160"
"C:\Users\Rising Star\Desktop\My-Website\posts\multi-agent-ai-systems-the-future-of-business-automation.html","76","153"
"C:\Users\Rising Star\Desktop\My-Website\posts\seedance-2-0-bytedance-ai-video-generator-explained-2026.html","112","169"
"C:\Users\Rising Star\Desktop\My-Website\posts\seo-blog-ai-money-2026.html","77","155"
"C:\Users\Rising Star\Desktop\My-Website\404.html","31","91"
"C:\Users\Rising Star\Desktop\My-Website\about.html","35","137"
"C:\Users\Rising Star\Desktop\My-Website\ai-money-machine.html","41","146"
"C:\Users\Rising Star\Desktop\My-Website\blog.html","55","162"
"C:\Users\Rising Star\Desktop\My-Website\contact.html","63","144"
"C:\Users\Rising Star\Desktop\My-Website\cookie-policy.html","30","139"
"C:\Users\Rising Star\Desktop\My-Website\disclaimer.html","27","139"
"C:\Users\Rising Star\Desktop\My-Website\index.html","62","161"
"C:\Users\Rising Star\Desktop\My-Website\post-template.html","67","145"
"C:\Users\Rising Star\Desktop\My-Website\privacy-policy.html","31","151"
"C:\Users\Rising Star\Desktop\My-Website\services.html","39","176"
"C:\Users\Rising Star\Desktop\My-Website\terms-of-service.html","33","135"
